n_true_jumps,n_pred_jumps,precision,recall,f1,roc_auc,k,threshold,method
3468,9046,0.03946495688702189,0.10294117647058823,0.057056097171168295,0.7180410064519103,3,3.0,Med3
3468,4714,0.047305897327110734,0.06430219146482122,0.05450989978000489,0.7180410064519103,3,3.5,Med3
3468,2453,0.05544231553200163,0.0392156862745098,0.04593818611720993,0.7180410064519103,3,4.0,Med3
3468,1291,0.055770720371804805,0.020761245674740483,0.030258457659172094,0.7180410064519103,3,4.5,Med3
3468,646,0.06501547987616099,0.012110726643598616,0.020418084589207585,0.7180410064519103,3,5.0,Med3
3468,7295,0.04139821795750514,0.08708189158016148,0.05611818266282635,0.7179322165189729,5,3.0,Med5
3468,3631,0.05039933902506197,0.052768166089965395,0.05155655726158614,0.7179322165189729,5,3.5,Med5
3468,1830,0.05683060109289618,0.029988465974625143,0.03926009815024538,0.7179322165189729,5,4.0,Med5
3468,913,0.06133625410733844,0.016147635524798153,0.025564939511527048,0.7179322165189729,5,4.5,Med5
3468,439,0.07061503416856492,0.008938869665513265,0.01586895316099309,0.7179322165189729,5,5.0,Med5
3468,6592,0.04202063106796117,0.07987312572087658,0.055069582504970176,0.7178447163580424,7,3.0,Med7
3468,3255,0.05099846390168971,0.04786620530565167,0.04938271604938271,0.7178447163580424,7,3.5,Med7
3468,1592,0.055904522613065326,0.02566320645905421,0.03517786561264822,0.7178447163580424,7,4.0,Med7
3468,761,0.06044678055190539,0.0132641291810842,0.02175455190352329,0.7178447163580424,7,4.5,Med7
3468,374,0.07219251336898395,0.007785467128027681,0.014055179593961478,0.7178447163580424,7,5.0,Med7
3468,6319,0.04257002690299098,0.07756632064590542,0.05497087973842853,0.7177647507754553,9,3.0,Med9
3468,3096,0.052002583979328165,0.046424452133794696,0.049055453991468614,0.7177647507754553,9,3.5,Med9
3468,1503,0.057218895542248835,0.024798154555940023,0.03460068396700865,0.7177647507754553,9,4.0,Med9
3468,711,0.05907172995780591,0.012110726643598616,0.020100502512562814,0.7177647507754553,9,4.5,Med9
3468,344,0.06686046511627906,0.0066320645905421,0.012067156348373556,0.7177647507754553,9,5.0,Med9
3468,6215,0.042638777152051485,0.07641291810841984,0.05473510275740989,0.7177374941653486,11,3.0,Med11
3468,3049,0.05247622171203673,0.0461361014994233,0.049102347705999694,0.7177374941653486,11,3.5,Med11
3468,1476,0.056910569105691054,0.02422145328719723,0.03398058252427184,0.7177374941653486,11,4.0,Med11
3468,697,0.058823529411764705,0.01182237600922722,0.019687875150060024,0.7177374941653486,11,4.5,Med11
3468,326,0.07668711656441718,0.00720876585928489,0.013178703215603585,0.7177374941653486,11,5.0,Med11
